YEAR,IC,PMID,grp
2021,NCATS,32759684,restIRP
2021,NCATS,32839771,restIRP
2021,NCATS,32870474,restIRP
2021,NCATS,33137173,restIRP
2021,NCATS,33151287,restIRP
2021,NCATS,33156327,restIRP
2021,NCATS,33173863,restIRP
2021,NCATS,33183351,restIRP
2021,NCATS,33230156,restIRP
2021,NCATS,33244000,restIRP
2021,NCATS,33430980,restIRP
2021,NCATS,33431020,restIRP
2021,NCATS,33533614,restIRP
2021,NCATS,33742785,restIRP
2021,NCATS,33795649,restIRP
2021,NCATS,33889934,restIRP
2021,NCATS,33929906,restIRP
2021,NCATS,34423274,restIRP
2021,NCATS,34128205,restIRP
2021,NCATS,32240171,restIRP
2021,NCATS,32459468,restIRP
2021,NCATS,32051227,restIRP
2021,NCATS,32128386,restIRP
2021,NCATS,32144388,restIRP
2021,NCATS,33304752,restIRP
2021,NCATS,33536335,restIRP
2021,NCATS,33863777,restIRP
2021,NCATS,33979606,restIRP
2021,NCATS,32059197,restIRP
2021,NCATS,32154236,restIRP
2021,NCATS,32676161,restIRP
2021,NCATS,33052350,restIRP
2021,NCATS,34013274,restIRP
2021,NCATS,32577632,restIRP
2021,NCATS,32596694,restIRP
2021,NCATS,32637956,restIRP
2021,NCATS,34111271,restIRP
2021,NCATS,34144038,restIRP
2021,NCATS,34408078,restIRP
2021,NCATS,33078696,restIRP
2021,NCATS,33251791,restIRP
2021,NCATS,33333074,restIRP
2021,NCATS,33508353,restIRP
2021,NCATS,33844597,restIRP
2021,NCATS,34047186,restIRP
2021,NCATS,34124783,restIRP
2021,NCATS,33073193,restIRP
2021,NCATS,33705358,restIRP
2021,NCATS,33347312,restIRP
2021,NCATS,33513003,restIRP
2021,NCATS,33967751,restIRP
2021,NCATS,34013260,restIRP
2021,NCATS,34033658,restIRP
2021,NCATS,34269114,restIRP
2021,NCATS,32839777,restIRP
2021,NCATS,32998994,restIRP
2021,NCATS,33257936,restIRP
2021,NCATS,33330843,restIRP
2021,NCATS,33344893,restIRP
2021,NCATS,33346633,restIRP
2021,NCATS,33397956,restIRP
2021,NCATS,33725211,restIRP
2021,NCATS,34136758,restIRP
2021,NCATS,34158410,restIRP
2021,NCATS,34432237,restIRP
2021,NCATS,33744514,restIRP
2021,NCATS,34323400,restIRP
2021,NCATS,31444471,restIRP
2021,NCATS,32114296,restIRP
2021,NCATS,32487192,restIRP
2021,NCATS,32532853,restIRP
2021,NCATS,32536017,restIRP
2021,NCATS,33038742,restIRP
2021,NCATS,33111489,restIRP
2021,NCATS,33361760,restIRP
2021,NCATS,33375166,restIRP
2021,NCATS,33424801,restIRP
2021,NCATS,33468482,restIRP
2021,NCATS,33731741,restIRP
2021,NCATS,34023384,restIRP
2021,NCATS,34051448,restIRP
2021,NCATS,34087995,restIRP
2021,NCATS,34088014,restIRP
2021,NCATS,34619643,restIRP
2021,NCATS,32868923,restIRP
2021,NCATS,33298900,restIRP
2021,NCATS,33992989,restIRP
2021,NCATS,34184537,restIRP
2022,NCATS,34662221,restIRP
2022,NCATS,35947606,restIRP
2022,NCATS,34075120,restIRP
2022,NCATS,34608449,restIRP
2022,NCATS,35119255,restIRP
2022,NCATS,35239443,restIRP
2022,NCATS,35313579,restIRP
2022,NCATS,35435491,restIRP
2022,NCATS,35696646,restIRP
2022,NCATS,35754433,restIRP
2022,NCATS,35847040,restIRP
2022,NCATS,34491744,restIRP
2022,NCATS,35333353,restIRP
2022,NCATS,34778802,restIRP
2022,NCATS,35030628,restIRP
