institution,lat,lon,source
Tufts University,42.40645,-71.11808,nominatim
"Tufts University, School of Medicine , School of Medicine",42.40645,-71.11808,nominatim
"UC Davis School of Medicine, School of Medicine",38.55298,-121.45273,nominatim
UCSD,32.87924,-117.23112,nominatim
UCSF Benioff Children's Hospital,37.76477,-122.38966,nominatim
"UT Austin, Center for Theoretical and Computational Neuroscience",30.28515,-97.73394,nominatim
UT Houston,37.62137,-112.73105,nominatim
Uniformed Services University of the Health Sciences,39.00187,-77.08637,nominatim
Universidade de São Paulo,-23.56522,-46.71258,nominatim
University College London,51.52420,-0.13300,nominatim
"University College London, Division of Psychiatry",51.52420,-0.13300,nominatim
"University College London, Research Department of Clinical, Educational and Health Psychology",51.52420,-0.13300,nominatim
"University College London, Sainsbury Wellcome Centre",51.52420,-0.13300,nominatim
University Hospital of Zurich,47.37690,8.55000,hand:Zurich
University of Amsterdam,52.36813,4.88980,nominatim
University of Barcelona,41.38686,2.16348,nominatim
University of Bergen,60.38093,5.33130,nominatim
University of British Columbia,49.25789,-123.24298,nominatim
University of Buenos Aires,-38.93949,-68.05034,nominatim
"University of Buenos Aires, Inst Invest Genet & Biol Mol",-38.93949,-68.05034,nominatim
"University of Calgary, Psychology",51.07505,-114.13881,nominatim
University of California - San Diego School of Medicine,32.87502,-117.23383,nominatim
University of California Davis Medical Center,38.55269,-121.45179,nominatim
University of California San Diego Medical Center,32.87781,-117.22633,nominatim
"University of California Santa Barbara, Psychological and Brain Sciences",34.41460,-119.84581,nominatim
"University of California, Berkeley",33.64877,-117.83650,nominatim
"University of California, Davis",38.53379,-121.79075,nominatim
"University of California, Los Angeles",34.01983,-118.27806,nominatim
"University of California, Los Angeles, Department of Neurology",33.98204,-117.33222,nominatim
"University of California, Los Angeles, Neurology, Human Genetics, Psychiatry",33.98204,-117.33222,nominatim
"University of California, Los Angeles, Psychiatry and Behavioral Sciences",33.98204,-117.33222,nominatim
"University of California, San Diego",32.87924,-117.23112,nominatim
"University of California, San Diego, Psychology",33.98204,-117.33222,nominatim
"University of California, San Francisco",37.76273,-122.45826,nominatim
"University of California, San Francisco, Department of Neurology",33.98204,-117.33222,nominatim
"University of California, San Francisco, Neurology",33.98204,-117.33222,nominatim
University of Cambridge,52.19550,0.13024,nominatim
University of Cape Town,-33.95676,18.46758,nominatim
University of Catania,37.50790,15.08300,hand:Catania
University of Chicago,41.78812,-87.60477,nominatim
University of Cincinnati,39.13189,-84.51578,nominatim
"University of Colorado Anschutz Medical Campus, Anesthesiology",39.74465,-104.83866,nominatim
"University of Colorado Boulder, Mechanical Engineering",40.00701,-105.26644,nominatim
University of Colorado Denver,39.74607,-105.00177,nominatim
"University of Colorado Denver, Psychiatry",39.74607,-105.00177,nominatim
University of Copenhagen,55.68015,12.57233,nominatim
"University of Copenhagen, Neurobiology Research Unit",55.68015,12.57233,nominatim
University of Delaware,39.68028,-75.75310,nominatim
University of East Anglia,52.62106,1.23562,nominatim
University of Edinburgh,55.94408,-3.18837,nominatim
University of Florida,29.64119,-82.35623,nominatim
University of Freiburg,48.00702,7.83732,nominatim
University of Ghent,51.00785,3.71088,nominatim
University of Glasgow,1.30769,103.77804,nominatim
University of Göttingen,51.54130,9.91580,hand:Gottingen
University of Helsinki,60.22672,25.01767,nominatim
University of Illinois Urbana-Champaign,40.07615,-88.22331,nominatim
University of Illinois at Chicago,41.86757,-87.65242,nominatim
University of Jyvaskyla,62.24162,25.75924,nominatim
University of Lausanne,46.52257,6.58095,nominatim
University of Louisville,38.21332,-85.75771,nominatim
University of Maryland Medical Center,39.28827,-76.62439,nominatim
"University of Maryland, Baltimore",39.25238,-76.70892,nominatim
"University of Maryland, Baltimore County, Biological Sciences",48.09898,11.58235,nominatim
"University of Maryland, Baltimore, School of Medicine",48.09898,11.58235,nominatim
"University of Maryland, College Park",38.99041,-76.94386,nominatim
"University of Maryland, College Park, Department of Physics",48.09898,11.58235,nominatim
"University of Massachusets, Amhurst",42.38680,-72.53010,hand:Amherst MA
"University of Massachusetts Chan Medical School, Department of Emergency Medicine",42.26260,-71.80230,hand:Worcester MA
University of Michigan,42.29421,-83.71004,nominatim
University of Michigan–Ann Arbor,42.29421,-83.71004,nominatim
University of Minnesota,44.98634,-93.17945,nominatim
"University of Minnesota, Department of Radiology",44.98634,-93.17945,nominatim
"University of Nevada, Las Vegas",36.17612,-115.15696,nominatim
University of New Mexico,35.08663,-106.62021,nominatim
"University of North Carolina System, Department of Psychiatry and Pharmacology",32.87240,-117.21211,nominatim
University of North Carolina at Chapel Hill,35.90504,-79.04775,nominatim
"University of North Carolina at Chapel Hill, Department of Psychiatry",35.90504,-79.04775,nominatim
University of Nottingham,52.93874,-1.20030,nominatim
"University of Nottingham, Physics",52.93874,-1.20030,nominatim
University of Oslo,59.94142,10.72277,nominatim
"University of Ottawa, School of Electrical Engineering and Computer Science",45.42253,-75.68339,nominatim
University of Oxford,33.65054,-117.82705,nominatim
"University of Oxford, Nuffield Dept. of Population Health",33.65054,-117.82705,nominatim
University of Parma,44.80150,10.32800,hand:Parma
University of Pennsylvania,39.95221,-75.19557,nominatim
University of Pennsylvania Health System,39.95221,-75.19557,nominatim
"University of Pennsylvania Health System, Psychiatry",39.95221,-75.19557,nominatim
"University of Pennsylvania School of Medicine, School of Medicine",39.95221,-75.19557,nominatim
"University of Pennsylvania, Department of Biostatistics",39.95221,-75.19557,nominatim
"University of Pennsylvania, School of Medicine",39.95221,-75.19557,nominatim
University of Pittsburgh,40.44415,-79.96246,nominatim
University of Pittsburgh Medical Center,40.44415,-79.96246,nominatim
University of Pittsburgh School of Medicine,40.44415,-79.96246,nominatim
"University of Pittsburgh, Department of Neurobiology",40.44415,-79.96246,nominatim
"University of Pittsburgh, Department of Psychiatry",40.44415,-79.96246,nominatim
University of Queensland,-27.49814,153.01115,nominatim
University of Rochester,18.40207,-66.06159,nominatim
"University of Rochester, Department of Ophthalmology",18.40207,-66.06159,nominatim
University of San Francisco,37.77936,-122.45145,nominatim
University of Science and Technology of China,31.83907,117.26421,nominatim
University of South Carolina,33.99288,-81.02687,nominatim
University of Sussex,50.86744,-0.08773,nominatim
"University of Sydney, Brain and Mind Centre",32.87253,-117.20202,nominatim
"University of Texas at Dallas, Center for Vital Longevity",32.98759,-96.74978,nominatim
University of Toronto,43.66347,-79.39682,nominatim
"University of Toronto, CAMPH",43.66347,-79.39682,nominatim
University of Turin,45.05116,7.68115,nominatim
University of Utah,40.76281,-111.83687,nominatim
University of Utah Health Care,37.69996,-113.06882,nominatim
"University of Valparaíso, Centro de Neurociencia",41.46757,-87.04270,nominatim
University of Vermont,44.47374,-73.19415,nominatim
"University of Vermont, Department of Electrical and Biomedical Engineering",44.47374,-73.19415,nominatim
University of Victoria,48.46206,-123.31142,nominatim
"University of Vienna, Psychiatry",48.21313,16.36069,nominatim
University of Virginia,38.04106,-78.50551,nominatim
"University of Virginia, Department of Psychology",38.04106,-78.50551,nominatim
University of Washington,47.65543,-122.30017,nominatim
"University of Washington, Psychiatry",47.65543,-122.30017,nominatim
University of Western Australia,-31.95065,115.79788,nominatim
University of Western Ontario,43.00542,-81.27480,nominatim
University of Wyoming,41.31499,-105.56432,nominatim
University of Würzburg,49.79130,9.95340,hand:Wurzburg
"Universität Innsbruck, Department of Pharmacology",47.26329,11.38445,nominatim
Université Paris Cité,48.85147,2.34109,nominatim
Université de Montréal,45.52269,-73.61983,nominatim
"Universiy of Washington, Seattle",47.65530,-122.30350,hand:Seattle
VU University Medical Center,52.33463,4.85991,nominatim
Vanderbilt University,36.14380,-86.80282,nominatim
"Vanderbilt University, Psychology",36.14380,-86.80282,nominatim
Virdx,,,nominatim_miss
Virginia Commonwealth University,37.54612,-77.45406,nominatim
"Vrije Universiteit Brussel, Department of Psychology",50.82255,4.39550,nominatim
Walter Reed Army Institute of Research,39.00572,-77.05290,nominatim
Warren Alpert Medical School of Brown University,41.82400,-71.41280,hand:Providence RI
Washington State University,46.73377,-117.14980,nominatim
Washington University in St. Louis,38.64724,-90.30840,nominatim
Washington University in St. Louis School of Medicine,38.64724,-90.30840,nominatim
"Washington University in St. Louis School of Medicine, Psychiatry",38.64724,-90.30840,nominatim
