IC,YEAR,IPID
NCI,2024,134489
NCI,2024,134653
NCI,2024,134638
NCI,2024,134539
NCI,2024,134696
NCI,2024,134905
NCI,2024,134319
NCI,2024,135134
NCI,2024,134376
NCI,2024,134424
NCI,2024,134917
NCI,2024,138334
NCI,2024,135000
NCI,2024,134913
NCI,2024,134453
NCI,2024,134624
NCI,2024,134628
NCI,2024,134657
NCI,2024,134317
NCI,2024,134842
NCI,2024,135047
NCI,2024,134496
NCI,2024,134518
NCI,2024,134351
NCI,2024,134916
NCI,2024,134498
NCI,2024,134577
NCI,2024,134480
NCI,2024,134578
NCI,2024,134588
NCI,2024,134812
NCI,2024,135093
NCI,2024,134393
NCI,2024,134984
NCI,2024,134730
NCI,2024,135138
NCI,2024,135001
NCI,2024,134440
NCI,2024,134545
NCI,2024,134512
NCI,2024,134522
NCI,2024,134750
NCI,2024,134883
NCI,2024,134551
NCI,2024,134712
NCI,2024,134615
NCI,2024,134572
NCI,2024,134937
NCI,2024,134943
NCI,2024,134388
NCI,2024,135157
NCI,2024,135116
NCI,2024,134383
NCI,2024,134633
NCI,2024,134996
NCI,2024,134525
NCI,2024,134912
NCI,2024,134366
NCI,2024,134631
NCI,2024,134893
NCI,2024,134422
NCI,2024,135082
NCI,2024,134896
NCI,2024,134932
NCI,2024,134456
NCI,2024,134770
NCI,2024,134623
NCI,2024,135065
NCI,2024,134719
NCI,2024,134342
NCI,2024,134735
NCI,2024,134853
NCI,2024,134838
NCI,2024,134941
NCI,2024,134830
NCI,2024,134520
NCI,2024,134821
NCI,2024,134417
NCI,2024,135077
NCI,2024,134486
NCI,2024,134847
NCI,2024,134370
NCI,2024,134409
NCI,2024,134324
NCI,2024,134390
NCI,2024,135151
NCI,2024,134983
NCI,2024,134369
NCI,2024,135037
NCI,2024,134825
NCI,2024,135149
NCI,2024,134530
NCI,2024,134467
NCI,2024,134721
NCI,2024,134784
NCI,2024,134315
NCI,2024,134544
NCI,2024,134946
NCI,2024,134358
NCI,2024,134717
NCI,2024,134804
NCI,2024,134411
NCI,2024,134693
NCI,2024,134524
NCI,2024,134550
NCI,2024,134379
NCI,2024,135133
NCI,2024,134935
NCI,2024,134671
NCI,2024,134737
NCI,2024,134892
NCI,2024,134705
NCI,2024,138350
NCI,2024,134697
NCI,2024,134404
NCI,2024,134992
NCI,2024,134641
NCI,2024,134960
NCI,2024,134788
NCI,2024,134460
NCI,2024,134806
NCI,2024,134487
NCI,2024,134515
NCI,2024,134537
NCI,2024,135154
NCI,2024,135071
NCI,2024,134855
NCI,2024,134380
NCI,2024,134654
NCI,2024,134387
NCI,2024,134823
NCI,2024,134482
NCI,2024,134568
NCI,2024,135020
NCI,2024,134447
NCI,2024,134563
NEI,2024,135224
NEI,2024,135233
NEI,2024,135185
NEI,2024,135214
NEI,2024,135219
NEI,2024,135209
NEI,2024,135191
NEI,2024,135218
NEI,2024,135199
NEI,2024,135227
NEI,2024,135177
NEI,2024,135208
NEI,2024,135222
NEI,2024,135236
NEI,2024,135187
NEI,2024,135228
NEI,2024,135163
NEI,2024,135229
NEI,2024,135200
NEI,2024,135189
NEI,2024,135203
NEI,2024,135198
NEI,2024,135204
NEI,2024,135206
NEI,2024,135215
NEI,2024,135170
NEI,2024,135178
NEI,2024,135162
NEI,2024,135167
NEI,2024,135213
NEI,2024,135168
NEI,2024,135232
NEI,2024,135223
NEI,2024,135226
NEI,2024,135235
NEI,2024,135186
NEI,2024,135211
NEI,2024,135194
NEI,2024,135179
NEI,2024,135174
NEI,2024,135216
NEI,2024,135205
NEI,2024,135193
NEI,2024,135175
NEI,2024,135165
NEI,2024,135172
NEI,2024,135202
NEI,2024,135192
NEI,2024,135212
NEI,2024,135234
NEI,2024,135188
NEI,2024,135173
NEI,2024,135196
NEI,2024,135176
NEI,2024,135183
NEI,2024,135207
NEI,2024,135217
NEI,2024,135221
NEI,2024,132629
NEI,2024,135171
NEI,2024,135181
NEI,2024,135166
NEI,2024,135220
NEI,2024,135195
NEI,2024,135169
NEI,2024,135231
NEI,2024,135201
NEI,2024,135182
NEI,2024,135210
NEI,2024,135225
NEI,2024,135230
NEI,2024,135197
NEI,2024,135190
NEI,2024,135184
NEI,2024,137713
NHGRI,2024,135290
NHGRI,2024,135283
NHGRI,2024,135293
NHGRI,2024,135311
NHGRI,2024,135308
NHGRI,2024,135303
NHGRI,2024,135269
NHGRI,2024,135304
NHGRI,2024,135278
NHGRI,2024,135305
NHGRI,2024,135244
NHGRI,2024,135279
NHGRI,2024,135297
NHGRI,2024,135277
NHGRI,2024,135288
NHGRI,2024,135260
NHGRI,2024,135310
NHGRI,2024,135289
NHGRI,2024,135281
NHGRI,2024,135247
NHGRI,2024,135263
NHGRI,2024,135296
NHGRI,2024,135298
NHGRI,2024,135280
NHGRI,2024,135291
NHGRI,2024,135245
NHGRI,2024,135272
NHGRI,2024,135267
NHGRI,2024,135255
NHGRI,2024,135264
NHGRI,2024,135253
NHGRI,2024,135287
NHGRI,2024,137433
NHGRI,2024,135285
NHGRI,2024,135284
NHGRI,2024,135252
NHGRI,2024,135241
NHGRI,2024,135242
NHGRI,2024,135306
NHGRI,2024,135282
NHGRI,2024,135262
NHGRI,2024,135295
NHGRI,2024,138174
NHGRI,2024,135292
NHGRI,2024,135307
NHGRI,2024,135274
NHGRI,2024,135259
NHGRI,2024,135268
NHGRI,2024,135265
NHGRI,2024,135270
NHGRI,2024,135256
NHGRI,2024,135257
NHGRI,2024,135299
NHGRI,2024,135250
NHGRI,2024,135240
NHGRI,2024,135243
NHGRI,2024,135273
NHGRI,2024,135251
NHGRI,2024,135301
NHGRI,2024,135271
NHGRI,2024,135258
NHGRI,2024,135286
NHGRI,2024,135276
NHGRI,2024,135294
NHGRI,2024,135309
NHGRI,2024,135302
NHGRI,2024,135275
NHGRI,2024,135254
NHGRI,2024,135249
NHGRI,2024,135239
NHGRI,2024,135266
NHGRI,2024,135261
NHGRI,2024,135238
NHLBI,2024,135415
NHLBI,2024,135419
NHLBI,2024,135471
NHLBI,2024,135340
NHLBI,2024,135465
NHLBI,2024,135377
NHLBI,2024,135429
NHLBI,2024,138254
NHLBI,2024,135470
NHLBI,2024,135462
NHLBI,2024,135439
NHLBI,2024,135409
NHLBI,2024,135484
NHLBI,2024,125733
NHLBI,2024,135486
NHLBI,2024,135362
NHLBI,2024,135395
NHLBI,2024,135467
NHLBI,2024,135456
NHLBI,2024,135401
NHLBI,2024,135410
NHLBI,2024,135402
NHLBI,2024,135468
NHLBI,2024,135332
NHLBI,2024,135390
NHLBI,2024,129088
NHLBI,2024,135473
NHLBI,2024,135408
NHLBI,2024,135413
NHLBI,2024,135414
NHLBI,2024,135435
NHLBI,2024,135333
NHLBI,2024,135445
NHLBI,2024,135331
NHLBI,2024,135344
NHLBI,2024,135443
NHLBI,2024,135319
NHLBI,2024,135472
NHLBI,2024,135387
NHLBI,2024,135364
NHLBI,2024,135315
NHLBI,2024,135397
NHLBI,2024,135418
NHLBI,2024,135405
NHLBI,2024,135421
NHLBI,2024,135422
NHLBI,2024,135434
NHLBI,2024,135349
NHLBI,2024,135353
NHLBI,2024,135448
NHLBI,2024,135483
NHLBI,2024,135372
NHLBI,2024,135318
NHLBI,2024,135338
NHLBI,2024,135383
NHLBI,2024,135432
NHLBI,2024,135403
NHLBI,2024,135352
NHLBI,2024,135380
NHLBI,2024,135406
NHLBI,2024,135370
NHLBI,2024,135398
NHLBI,2024,135446
NHLBI,2024,135324
NHLBI,2024,135368
NHLBI,2024,135407
NHLBI,2024,135437
NHLBI,2024,135393
NHLBI,2024,135416
NHLBI,2024,135350
NHLBI,2024,135345
NHLBI,2024,135385
NHLBI,2024,135466
NHLBI,2024,135479
NHLBI,2024,135450
NHLBI,2024,135426
NHLBI,2024,135343
NHLBI,2024,135382
NHLBI,2024,135321
NHLBI,2024,135391
NHLBI,2024,135427
NHLBI,2024,135438
NHLBI,2024,135376
NHLBI,2024,135361
NHLBI,2024,135366
NHLBI,2024,135334
NHLBI,2024,135348
NHLBI,2024,135336
NHLBI,2024,135355
NHLBI,2024,135396
NHLBI,2024,135341
NHLBI,2024,135444
NHLBI,2024,135351
NHLBI,2024,135404
NHLBI,2024,135461
NHLBI,2024,135451
NHLBI,2024,135477
NHLBI,2024,135436
NHLBI,2024,135388
NHLBI,2024,135433
NHLBI,2024,135329
NHLBI,2024,135458
NHLBI,2024,135411
NHLBI,2024,135322
NHLBI,2024,135325
